"location","email","fname","sname","fyomi","syomi","sex","birthday","occupation","prefecture","image"
"G","1278@4any.bc-glex.net","大西","崇之","おおにし","たかゆき","男","1971/07/02","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"H","1279@4any.bc-glex.net","大抜","亮祐","おおぬき","りょうすけ","男","1988/07/02","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"A","1280@4any.bc-glex.net","大沼","幸二","おおぬま","こうじ","男","1979/07/03","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"B","1281@4any.bc-glex.net","大場","翔太","おおば","しょうた","男","1985/06/27","プロ野球選手","東京都","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"C","1282@4any.bc-glex.net","大引","啓次","おおびき","けいじ","男","1984/06/29","プロ野球選手","大阪府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"D","1283@4any.bc-glex.net","大村","巌","おおむら","いわお","男","1969/05/31","プロ野球選手","北海道","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"E","1284@4any.bc-glex.net","大八木","治","おおやぎ","おさむ","男","1953/10/12","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"F","1285@4any.bc-glex.net","岡島","秀樹","おかじま","ひでき","男","1975/12/25","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"G","1286@4any.bc-glex.net","岡嶋","博治","おかじま","ひろじ","男","1935/05/05","プロ野球選手","京都府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"H","1287@4any.bc-glex.net","岡田","彰布","おかだ","あきのぶ","男","1957/11/25","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"A","1288@4any.bc-glex.net","岡本","克道","おかもと","かつのり","男","1973/06/09","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"B","1289@4any.bc-glex.net","尾形","佳紀","おがた","よしのり","男","1978/08/05","プロ野球選手","北海道","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"C","1290@4any.bc-glex.net","荻野","忠寛","おぎの","ただひろ","男","1982/04/26","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"D","1291@4any.bc-glex.net","奥田","実里","おくだ","みのり","女","1987/07/01","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"E","1292@4any.bc-glex.net","長田","秀一郎","おさだ","しゅういちろう","男","1980/05/06","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"F","1293@4any.bc-glex.net","長内","孝","おさない","たかし","男","1957/08/30","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"G","1294@4any.bc-glex.net","小瀬","浩之","おぜ","ひろゆき","男","1985/09/02","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"H","1295@4any.bc-glex.net","小田嶋","正邦","おだじま","まさくに","男","1979/04/12","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"A","1296@4any.bc-glex.net","小山","桂司","おやま","けいじ","男","1980/11/19","プロ野球選手","宮城県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"B","1297@4any.bc-glex.net","小山田","貴雄","おやまだ","たかお","男","1983/01/11","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"C","1298@4any.bc-glex.net","蔭山","和夫","かげやま","かずお","男","1927/01/16","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"D","1299@4any.bc-glex.net","梶本","勇介","かじもと","ゆうすけ","男","1983/12/18","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"E","1300@4any.bc-glex.net","片岡","篤史","かたおか","あつし","男","1969/06/27","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"F","1301@4any.bc-glex.net","片平","保彦","かたひら","やすひこ","男","1963/06/09","プロ野球選手","神奈川県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"G","1302@4any.bc-glex.net","加藤","聡","かとう","さとし","男","1986/09/05","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"H","1303@4any.bc-glex.net","加藤","政義","かとう","まさよし","男","1987/04/28","プロ野球選手","宮城県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"A","1304@4any.bc-glex.net","加藤","幹典","かとう","みきのり","男","1985/06/04","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"B","1305@4any.bc-glex.net","金森","敬之","かなもり","たかゆき","男","1985/07/24","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"C","1306@4any.bc-glex.net","金森","久朋","かなもり","ひさとも","男","1980/06/22","プロ野球選手","京都府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"D","1307@4any.bc-glex.net","金城","基泰","かねしろ","もとやす","男","1952/10/16","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"E","1308@4any.bc-glex.net","金村","曉","かねむら","さとる","男","1976/04/19","プロ野球選手","宮城県","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"F","1309@4any.bc-glex.net","金村","大裕","かねむら","だいゆう","男","1983/06/13","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"G","1310@4any.bc-glex.net","神内","靖","かみうち","やすし","男","1983/08/12","プロ野球選手","京都府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"H","1311@4any.bc-glex.net","苅田","久徳","かりた","ひさのり","男","1911/01/19","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"A","1312@4any.bc-glex.net","川井","貴志","かわい","たかし","男","1976/09/16","プロ野球選手","大阪府","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"B","1313@4any.bc-glex.net","河内","貴哉","かわうち","たかや","男","1982/01/06","プロ野球選手","東京都","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"C","1314@4any.bc-glex.net","川岸","強","かわぎし","つよし","男","1979/09/12","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"D","1315@4any.bc-glex.net","川越","英隆","かわごえ","ひでたか","男","1973/06/08","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"E","1316@4any.bc-glex.net","河田","雄祐","かわだ","ゆうすけ","男","1967/12/22","プロ野球選手","東京都","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"F","1317@4any.bc-glex.net","河原","純一","かわはら","じゅんいち","男","1973/01/22","プロ野球選手","神奈川県","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"G","1318@4any.bc-glex.net","川端","慎吾","かわばた","しんご","男","1987/10/16","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"H","1319@4any.bc-glex.net","川端","友紀","かわばた","ゆき","女","1989/05/12","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"A","1320@4any.bc-glex.net","川村","隆史","かわむら","たかし","男","1965/05/30","プロ野球選手","大阪府","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"B","1321@4any.bc-glex.net","河本","悠","かわもと","ゆう","女","1986/10/13","プロ野球選手","東京都","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"C","1322@4any.bc-glex.net","菊地原","毅","きくちはら","つよし","男","1975/03/07","プロ野球選手","神奈川県","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"D","1323@4any.bc-glex.net","岸","孝之","きし","たかゆき","男","1984/12/04","プロ野球選手","宮城県","http://img.westatic.com/ic/?u=http%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F8%2F85%2FSmiley.svg%2F180px-Smiley.svg.png"
"E","1324@4any.bc-glex.net","岸川","登俊","きしかわ","たかとし","男","1970/01/30","プロ野球選手","東京都","http://blog.so-net.ne.jp/_images/blog/_606/worlddouwa/11387243.jpg"
"F","1325@4any.bc-glex.net","岸田","護","きしだ","まもる","男","1981/05/10","プロ野球選手","大阪府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"G","1326@4any.bc-glex.net","岸本","秀樹","きしもと","ひでき","男","1982/10/18","プロ野球選手","京都府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"H","1327@4any.bc-glex.net","北川","隼行","きたがわ","としゆき","男","1979/01/08","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"A","syn-mujinadm@4any.bc-glex.net","北野","明仁","きたの","あきひと","男","1961/03/07","プロ野球選手","京都府","http://farm4.static.flickr.com/3214/2612518169_82337e70f3.jpg"
"B","1329@4any.bc-glex.net","木田","勇","きだ","いさむ","男","1954/06/07","プロ野球選手","神奈川県","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"C","1330@4any.bc-glex.net","木田","優夫","きだ","まさお","男","1968/09/12","プロ野球選手","東京都","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
"D","1331@4any.bc-glex.net","木戸","克彦","きど","かつひこ","男","1961/02/01","プロ野球選手","大阪府","http://blog-imgs-32.fc2.com/n/i/k/nikonikoblog/2010112516174741e.jpg"
"E","1332@4any.bc-glex.net","衣笠","祥雄","きぬがさ","さちお","男","1947/01/18","プロ野球選手","京都府","http://image.portphoto.com/img/00001_3375/マイメロディ.jpg"
